,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  19/08/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,41.49,29.74,35.27,76.49,138.89,115.56,111.42,91.55,43.15,57.83,191.45,141.7,129.55,128.14,128.53,103.05,51.77,276.16,22.18,24.28,30.72,91.59
Maximum Price,65.0,51.0,67.0,132.0,180.0,156.0,156.0,145.0,70.0,80.0,270.0,258.0,220.0,200.0,244.0,175.0,143.0,558.0,38.0,60.0,63.0,220.0
Minimum Price,23.0,21.0,27.0,54.0,73.0,65.0,75.0,67.0,36.0,40.0,130.0,110.0,93.0,100.0,104.0,83.0,35.0,149.0,9.0,11.0,10.0,33.0
Modal Price,35.0,28.0,30.0,70.0,140.0,110.0,110.0,90.0,42.0,57.5,200.0,130.0,130.0,120.0,130.0,100.0,50.0,240.0,27.0,20.0,30.0,80.0
Andaman and Nicobar,41.0,,66.0,84.67,149.33,141.0,127.67,99.67,52.67,70.67,236.5,198.0,198.33,,146.67,128.0,75.33,308.33,20.33,46.67,50.0,180.0
Andhra Pradesh,53.4,40.8,44.2,71.0,147.6,119.8,115.4,99.6,42.2,58.2,177.8,196.0,116.6,175.0,119.4,99.0,58.2,325.0,21.2,31.6,29.2,64.4
Arunachal pradesh,31.67,42.0,38.33,86.67,130.0,123.33,116.67,100.0,52.5,70.0,,160.0,170.0,146.5,212.5,,70.0,300.0,22.5,26.0,38.5,90.0
Assam,41.58,31.36,36.7,76.44,131.96,107.42,109.78,90.59,44.96,69.26,199.5,147.37,138.85,139.44,155.59,116.39,56.81,258.12,13.33,22.19,33.63,92.04
Bihar,38.03,26.19,32.72,70.83,133.67,111.36,108.22,78.58,42.72,54.94,187.19,139.67,125.25,130.03,167.44,108.83,47.94,276.92,22.5,19.31,27.44,114.42
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,30.0,70.0
Chhattisgarh,39.33,34.0,35.33,70.0,135.0,104.67,107.33,87.0,42.0,58.67,202.0,155.33,131.33,129.33,145.67,118.67,51.0,337.0,27.33,27.33,32.67,77.0
Delhi,39.0,28.0,31.0,78.0,157.0,130.0,115.0,87.0,41.0,53.0,216.0,141.0,130.0,131.0,144.0,106.0,60.0,243.0,26.0,27.0,37.0,78.0
DNH and DD,45.0,39.0,43.0,77.67,142.0,127.0,121.67,94.33,41.0,64.0,210.0,154.0,140.67,132.67,132.67,100.33,67.33,350.0,27.0,21.33,33.67,63.33
Gujarat,37.14,32.43,37.0,78.14,136.57,119.86,108.57,95.14,41.83,57.5,194.67,155.5,139.5,153.33,140.83,105.0,49.83,284.83,15.17,22.86,23.0,96.43
Haryana,40.25,25.75,32.75,66.75,125.0,100.75,99.25,92.75,42.5,59.0,186.0,144.0,132.75,128.25,165.75,113.75,45.5,236.25,25.75,18.25,24.25,126.25
Himachal Pradesh,36.67,21.0,31.92,72.08,140.92,119.42,112.25,86.83,44.08,53.08,218.75,164.0,142.92,133.2,152.8,121.0,45.92,256.67,27.58,29.0,37.25,112.08
Jammu and Kashmir,39.0,30.25,40.75,85.0,124.5,118.5,114.5,100.0,50.75,51.75,243.0,163.25,149.25,148.25,169.75,135.33,48.25,316.25,25.0,26.75,34.5,109.25
Jharkhand,37.74,30.72,34.63,74.21,137.32,107.16,105.89,79.79,43.78,57.06,187.31,141.84,124.22,133.44,156.44,106.11,47.5,291.76,23.33,19.32,27.21,119.61
Karnataka,53.97,41.81,45.19,86.34,148.06,130.84,120.44,104.59,41.72,49.78,179.59,171.56,123.09,141.58,124.53,99.47,51.78,293.63,19.63,30.66,31.09,62.22
Kerala,49.91,44.27,48.36,94.82,160.73,140.27,131.82,107.64,42.55,53.64,226.17,189.13,152.91,,121.91,100.2,62.82,237.18,14.18,34.0,33.55,55.36
Madhya Pradesh,36.13,27.08,32.95,74.66,139.71,105.79,105.63,89.79,42.13,57.79,190.92,137.66,121.18,116.03,145.68,113.67,47.21,247.63,19.29,20.34,24.32,82.0
Maharashtra,47.0,37.79,42.74,74.95,153.37,119.58,117.32,96.16,43.05,57.0,190.32,161.5,131.05,115.16,128.26,106.06,51.79,291.32,23.53,27.63,26.21,86.16
Meghalaya,37.33,38.11,38.11,78.0,130.29,127.33,112.38,90.44,45.89,72.33,143.0,135.67,142.75,137.78,180.0,138.6,79.5,358.89,23.38,26.78,43.44,90.89
Mizoram,50.0,,60.0,,,,,110.0,50.0,80.0,,,,130.0,,,143.0,520.0,30.0,60.0,63.0,80.0
