,,,,,,,,,,,,,,,,,,,,,,
Department of Consumer Affairs ( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  10/09/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.26,29.96,35.62,79.27,146.95,116.44,112.71,93.17,43.03,57.08,192.73,139.89,126.7,125.11,127.52,102.06,51.32,273.26,22.9,23.82,32.66,39.23
Maximum Price,66.0,51.0,67.0,133.0,188.0,164.0,156.0,147.0,60.0,80.0,257.0,258.0,220.0,200.0,244.0,170.0,143.0,558.0,37.0,60.0,63.0,123.0
Minimum Price,26.0,21.0,27.0,54.0,75.0,70.0,80.0,70.0,36.0,40.0,144.0,110.0,93.0,99.0,108.0,83.0,35.0,155.0,9.0,13.0,14.0,12.0
Modal Price,40.0,28.0,30.0,80.0,160.0,110.0,110.0,90.0,42.0,60.0,200.0,141.0,130.0,120.0,117.0,100.0,50.0,240.0,28.0,20.0,30.0,40.0
Andaman and Nicobar,45.0,,67.0,81.0,153.0,136.0,120.0,95.0,52.0,73.0,,167.0,220.0,,141.0,125.0,75.0,325.0,20.0,40.0,60.0,70.0
Andhra Pradesh,43.0,37.5,42.0,77.0,150.0,116.5,112.5,98.0,43.0,57.0,183.5,200.5,109.0,200.0,129.0,107.0,57.5,244.0,21.5,31.0,31.0,24.5
Arunachal pradesh,38.0,42.0,40.0,90.0,130.0,130.0,120.0,110.0,,,,,,,,,,,,,,
Assam,41.41,32.2,36.06,77.71,136.25,103.64,110.82,91.47,45.06,70.24,234.5,144.76,137.25,136.29,156.14,112.33,60.0,262.0,14.06,21.24,37.0,74.87
Bihar,37.83,26.43,32.3,75.65,142.61,114.7,110.09,80.78,43.7,56.35,185.1,136.86,124.32,128.48,167.63,109.06,48.04,285.3,23.39,19.65,32.83,47.7
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,35.0
Chhattisgarh,40.5,35.0,38.17,79.17,140.5,103.0,107.0,85.0,42.67,61.5,211.4,149.6,127.0,130.8,146.6,113.2,49.0,304.83,26.83,24.83,32.5,37.67
Delhi,39.0,28.0,31.0,83.0,165.0,132.0,115.0,91.0,42.0,53.0,218.0,143.0,129.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,38.0,38.0
DNH and DD,46.67,40.0,44.33,88.33,160.33,130.67,123.33,95.33,42.67,64.0,211.33,153.33,138.67,129.67,131.67,100.67,68.33,350.0,27.0,20.33,32.0,26.0
Gujarat,37.0,33.0,40.0,75.5,133.5,117.0,114.0,100.5,43.5,57.0,185.0,143.5,133.5,148.5,131.0,115.0,48.0,274.5,13.5,27.5,26.0,66.5
Haryana,40.0,26.0,33.0,69.25,129.75,104.75,101.25,95.5,42.5,58.75,185.75,142.75,132.25,128.25,158.0,113.5,46.0,233.5,25.75,16.75,25.75,64.0
Himachal Pradesh,37.92,21.0,32.25,79.17,145.75,121.92,113.0,88.83,44.5,53.25,219.5,166.83,139.42,133.3,152.4,121.5,46.58,258.75,27.58,32.08,38.25,43.75
Jammu and Kashmir,38.5,32.5,45.0,91.5,115.0,114.0,116.5,101.5,55.0,46.5,243.0,152.5,147.0,140.0,174.0,142.0,48.5,331.0,26.0,27.5,42.5,56.5
